,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Harry Potter,0.7044025157232705,57819,0.3703453264094771,0.7470745810553431,0.22828449783428711,0.2001249475761213
Ronald Weasley,0.5031446540880503,27028,0.12465509869196653,0.6430515381235865,0.20918199013042396,0.08829434376049893
Hermione Granger,0.44025157232704404,23832,0.0689474908834655,0.6170170628959109,0.20169218763225386,0.07594287629354154
Albus Dumbledore,0.37945492662473795,9434,0.06798777002893994,0.5899479272333806,0.1820049400681064,0.03328227654060343
Rubeus Hagrid,0.2641509433962264,5751,0.029286759006960837,0.5436499923969916,0.1554471631088074,0.019630951951200817
Tom Riddle,0.29350104821802936,4992,0.03500377967639676,0.5562161114426643,0.15717689501805135,0.018729713806567825
Severus Snape,0.2578616352201258,5537,0.019662917508647466,0.5449459399354827,0.15688630279951804,0.018507571859878637
Sirius Black,0.20125786163522014,4349,0.010307144752149514,0.5201474898815358,0.1320141380202826,0.014329224051470269
Draco Malfoy,0.23060796645702308,4157,0.015732436639710093,0.5273467630978893,0.14616728690536468,0.013769269012129617
Fred Weasley,0.21174004192872117,3975,0.019281992412466205,0.5249249639562228,0.1369854403803836,0.013737856145856502
George Weasley,0.20545073375262055,3631,0.017722031402484892,0.5237223867192096,0.1366497405806994,0.012247547508320246
Ginevra Weasley,0.25157232704402516,3587,0.019197600246265926,0.5372616258588367,0.14930012852928853,0.012495235468290644
Neville Longbottom,0.20964360587002098,2690,0.01078716163352874,0.5201474898815358,0.13599095490026647,0.0092813368188766
Remus Lupin,0.17610062893081763,2529,0.007180179755625339,0.5080107151176333,0.12387914569160596,0.00841615604078217
Molly Weasley,0.15932914046121593,2478,0.015480556158252107,0.5074468852451387,0.11233932498718882,0.00903328273422518
Cho Chang,0.11111111111111112,1363,0.0014678678926371993,0.48228865359268985,0.08814981109033594,0.00466206496314355
Dolores Umbridge,0.16771488469601678,2050,0.013509472911701672,0.5035348497862004,0.11263547823055602,0.007528302273345823
Godric Gryffindor,0.24947589098532497,2301,0.02479444573756047,0.5378936983598471,0.14876351037509283,0.009343110676898542
Dobby,0.10062893081761007,1096,0.0008326772900737242,0.48178044637077977,0.08776933684039165,0.0036696165275451487
Minerva McGonagall,0.22012578616352202,2248,0.008934147057514791,0.5267392207440899,0.14337066000237883,0.008035371028615864
Cedric Diggory,0.10901467505241091,1051,0.0009715407162705005,0.48587634814651437,0.09004407069198506,0.0037147982639043715
Alastor Moody,0.14675052410901468,1487,0.00584797517036738,0.5029809060570628,0.11030885455266279,0.005424278619188547
Horace Slughorn,0.16561844863731656,1395,0.022503062722821304,0.4980497207035621,0.10172356519730023,0.006614260010456166
Vernon Dursley,0.09853249475890986,1116,0.014000924769711681,0.4802622306784349,0.06818959603756079,0.004905336603269976
Luna Lovegood,0.1530398322851153,1302,0.0030490261418808203,0.5002293693718489,0.11330884818921683,0.0044568156520382665
Dudley Dursley,0.06918238993710692,899,0.007506566685993581,0.46845250369453895,0.050092532579544456,0.004212744994746056
Hedwig,0.0859538784067086,643,0.0012829381115109012,0.47477636926881617,0.07287569047088165,0.0024597115595913176
Gregory Goyle,0.10062893081761007,1245,0.0012613650469106502,0.47825276527810673,0.08081256653117408,0.0041383858131125535
Vincent Crabbe,0.11740041928721175,1240,0.002335511587988697,0.48228865359268985,0.08967204065118413,0.004124915787789277
Sybill Trelawney,0.0859538784067086,792,0.0003949297117420126,0.4757644574462747,0.07836639252935823,0.002699108214359129
Cornelius Fudge,0.15513626834381553,1481,0.011618079699785018,0.5002293693718489,0.10271458833742456,0.00614194959956486
Argus Filch,0.10482180293501049,885,0.000942301383479832,0.48228865359268985,0.08757584353329646,0.0030673715986258027
Percy Weasley,0.17819706498951782,1323,0.005556615114861429,0.5080107151176333,0.11909877116381846,0.004889161676179647
Kreacher,0.08385744234800839,899,0.010586316372072285,0.4792553916204088,0.06773396898346937,0.003965767922304508
Gilderoy Lockhart,0.10482180293501049,805,0.007515419471268949,0.48587634814651437,0.08284328347286565,0.003706685855713103
Prime Minister,0.12368972746331237,712,0.010987463206147945,0.4838197286834603,0.08233604153392339,0.0038877716798756947
Viktor Krum,0.10062893081761007,869,0.004716157733124886,0.47975828290227707,0.07706875170450195,0.0036575208988908125
Nymphadora Tonks,0.1069182389937107,846,0.003245614845788659,0.4863932378785851,0.08643919197635774,0.00308625718781645
Bartemius Crouch Senior,0.10272536687631027,1173,0.003296481867118742,0.4838197286834603,0.08088743478719322,0.004626241948000396
Petunia Dursley,0.06918238993710692,759,0.006669272355512983,0.46464394675393295,0.05284659879875018,0.0035553025056598913
Oliver Wood,0.09014675052410902,690,0.0004716057406525869,0.47330190849468945,0.07838478480429849,0.002627614310425328
Salazar Slytherin,0.15094339622641512,789,0.006120375148356554,0.4932142865219741,0.10306856674270769,0.0035821378456346413
William Weasley,0.14465408805031446,1161,0.010783474282152134,0.4975077732381611,0.10795433586790404,0.004618771817236142
Aberforth Dumbledore,0.11740041928721175,532,0.005463892002501522,0.4863932378785851,0.0815670243088559,0.002545783498416502
Dean Thomas,0.1320754716981132,852,0.0020444915937091355,0.4921524688975996,0.10064285896604096,0.003091899243155143
Fleur Delacour,0.11530398322851154,965,0.0011393047033692112,0.48433224958248944,0.09377825137549446,0.003534222684361132
Rufus Scrimgeour,0.06918238993710692,410,0.001610663365681185,0.4694144184865195,0.0576891145730191,0.0018191189024860128
Arthur Weasley,0.15094339622641512,731,0.008383585026167475,0.4980497207035621,0.10200785215553666,0.0036110586009176293
Seamus Finnigan,0.09224318658280922,607,0.004602512060060412,0.47428386266169087,0.0793049834999327,0.002428650183092019
Griphook,0.05450733752620546,457,0.00040766309328292544,0.4581258953966634,0.044452625465502604,0.001864565825228088
Lavender Brown,0.08805031446540881,690,0.004911336092200972,0.47477636926881617,0.06996086258054467,0.0027413968746329365
Rita Skeeter,0.09433962264150944,702,0.003261664888084491,0.47725432526708766,0.0707976530061668,0.0028290010142336163
Ludovic Bagman,0.11320754716981132,573,0.016348842006354603,0.4848458574823648,0.07564545443847474,0.0030142600146112154
Buckbeak,0.06289308176100629,514,0.0003396781274948679,0.46464394675393295,0.052791285070517245,0.0018657243783647137
Bellatrix Lestrange,0.10062893081761007,643,0.0027797785502487265,0.4792553916204088,0.07510216704395262,0.0026899568321795764
Lucius Malfoy,0.11530398322851154,606,0.0015818197452079164,0.4848458574823648,0.08821453501612858,0.002450145282806299
Poppy Pomfrey,0.10482180293501049,461,0.0025730731583503705,0.4863932378785851,0.08922952688105694,0.0018350287703603914
Quirinus Quirrell,0.04402515723270441,335,0.000363185337820537,0.4590458269135241,0.04648092144428808,0.0013750348016805596
Lily J. Potter,0.07547169811320756,555,0.002231673505165856,0.4757644574462747,0.05936751992923348,0.0026930295595474895
Peter Pettigrew,0.050314465408805034,615,5.3610807448446826e-05,0.4590458269135241,0.052757497646639256,0.002166279259286467
Father Christmas,0.14046121593291405,463,0.0027533362133649745,0.5018766669658288,0.10969222171459504,0.0018301215094857068
Myrtle Warren,0.033542976939203356,272,0.0001639358679121041,0.4443242406276676,0.032799777973540285,0.0013278813646776595
Mundungus Fletcher,0.060796645702306085,431,0.0042935291601670115,0.46845250369453895,0.05907333947116432,0.0019442269368199548
Winky,0.03773584905660378,493,3.3830342560789766e-05,0.45403142364038734,0.0383172333660251,0.0018927981373205803
Angelina Johnson,0.10062893081761007,471,0.0010835257591049064,0.47379237679364766,0.07651088906938633,0.002145108956290589
Garrick Ollivander,0.06289308176100629,330,0.00035110994613731173,0.46417222701103555,0.05331587186429027,0.0013739043434925005
Peeves,0.07127882599580714,346,0.0006167263356268852,0.46797302313804506,0.06371926896878902,0.0016271946195604244
Phineas Nigellus Black,0.04612159329140461,259,0.003057197744877508,0.45720964360587,0.04605989183034223,0.0012215805895978114
Fang,0.039832285115303984,329,3.0300354968401503e-05,0.45403142364038734,0.04242386580630674,0.0012772477039569054
Bathilda Bagshot,0.052410901467505246,233,0.014691125008161828,0.4562970495068563,0.03198622090364323,0.0017312625810178431
Igor Karkaroff,0.07127882599580714,495,0.00047564906317213454,0.46797302313804506,0.06157635160278766,0.001989413415860345
