,Degree Centrality,Weighted Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank
Harry Potter,0.8651685393258427,5932,0.3641186189113089,0.8811881188118812,0.2940114284910297,0.20382377121698167
Ronald Weasley,0.6179775280898876,3340,0.09372476692294884,0.7235772357723578,0.25226603699292427,0.10562709872982352
Hermione Granger,0.5617977528089888,3149,0.08488910130838265,0.6953125,0.23927928326139142,0.099515487742997
Remus Lupin,0.3932584269662921,1199,0.031396157367965624,0.6137931034482759,0.18561521734330513,0.03889787452452821
Sirius Black,0.42696629213483145,1273,0.03647743446617306,0.6267605633802817,0.20063828948883067,0.04152255030796938
Severus Snape,0.2808988764044944,842,0.00836615859160079,0.577922077922078,0.1534244637403476,0.027141830332796688
Rubeus Hagrid,0.348314606741573,757,0.016523014531652825,0.5973154362416108,0.1786754932714729,0.02486205931821582
Draco Malfoy,0.4044943820224719,579,0.01823988496643183,0.6180555555555556,0.20751287960239978,0.02077766040059512
Godric Gryffindor,0.4606741573033708,697,0.04347184300001139,0.6402877697841727,0.2152587400218178,0.028409331208898495
Oliver Wood,0.3033707865168539,387,0.010454295275926777,0.5741935483870968,0.1475307323725854,0.017233340608851323
Cornelius Fudge,0.2584269662921348,343,0.007071705712737958,0.559748427672956,0.13533733636288323,0.013110525731542737
Peter Pettigrew,0.24719101123595505,560,0.004572296156677782,0.55625,0.14040601650140114,0.018592361587549275
Sybill Trelawney,0.2247191011235955,310,0.003535168054154358,0.5527950310559007,0.13406672148635043,0.011633851991860369
Albus Dumbledore,0.3707865168539326,485,0.030406101913634995,0.6013513513513513,0.17813571332652695,0.018008791986723158
Buckbeak,0.20224719101123595,294,0.0030221390898552474,0.5393939393939394,0.11479637178703643,0.010394517841316876
Vernon Dursley,0.1348314606741573,148,0.021272246770342652,0.5144508670520231,0.05370937054555587,0.009678481850081515
Minerva McGonagall,0.33707865168539325,305,0.011829960200462113,0.5973154362416108,0.18441773746373186,0.012062984519626587
Crookshanks,0.14606741573033707,192,0.001109730141642958,0.5297619047619048,0.09191883705769972,0.0071624166784927425
Tom Riddle,0.19101123595505617,206,0.0020075458540255277,0.5393939393939394,0.11134618206890026,0.008165627566340362
Neville Longbottom,0.2808988764044944,253,0.02796732830388733,0.5741935483870968,0.15097630342036317,0.010838619471694552
Gregory Goyle,0.21348314606741572,197,0.0025823093971631215,0.5460122699386503,0.12473986127791277,0.008646170069815344
Vincent Crabbe,0.1797752808988764,199,0.0017025576753809336,0.536144578313253,0.10748052457362861,0.008699026350871143
Percy Weasley,0.2808988764044944,249,0.021769030086817118,0.5705128205128205,0.14605278571401345,0.011721541140099942
Fred Weasley,0.33707865168539325,242,0.01822110547367338,0.5855263157894737,0.15437465052373275,0.012169674486790854
George Weasley,0.3146067415730337,204,0.014333215224974076,0.577922077922078,0.15132509182493947,0.010510058716334519
Hedwig,0.1348314606741573,92,0.01093478653357431,0.52046783625731,0.06416621474515166,0.006822105486778543
Poppy Pomfrey,0.15730337078651685,100,0.0003088007806583184,0.5266272189349113,0.10901465988668002,0.004612484119476531
Molly Weasley,0.14606741573033707,86,0.0011774424145700071,0.5266272189349113,0.08787106734088386,0.00464770119146643
Prime Minister,0.1348314606741573,83,0.0005149488847590152,0.52046783625731,0.08490167373548378,0.004277842887734288
Cho Chang,0.06741573033707865,49,1.5960163432073545e-05,0.49171270718232046,0.041843804977567546,0.003348373120830925
